,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,000962,东方钽业,8.05,11.46,100.0,77.75,0.2617,678.09,2.2831
1,000858,五粮液,6.64,14.07,38.0903,281.5631,0.5507,1999.8997,3.9121
2,000822,山东海化,4.49,15.94,31.9535,55.6247,0.1324,348.7932,0.8304
3,000001,平安银行,3.82,19.14,57.7036,138.8284,0.0713,725.0054,0.3725
4,600855,航天长峰,2.8,20.92,51.31399999999999,5.1711,0.0323,24.7092,0.1543
5,600016,民生银行,2.68,18.6,28.7025,165.4,0.0955,889.19,0.5139
6,600601,方正科技,2.04,2.86,8.2723,30.4263,,1062.5712,
7,000766,通化金马,1.95,18.9,58.0793,21.1585,0.0706,111.9076,0.3738
8,000623,吉林敖东,0.79,11.13,49.3642,8.5996,0.0368,77.2302,0.3305
9,000553,沙隆达A,0.31,2.07,10.3385,3.1898,0.0107,153.3647,0.5164
10,000523,广州浪奇,0.3,1.2,22.1715,1.5571,0.0067,128.7746,0.5614
11,600743,华远地产,-0.44,-0.96,4.043,-0.6604,,68.1549,
12,000613,*ST东海A,-3.84,-56.07,100.0,-3.8508,-0.0105,6.8668,0.0188
13,000011,深物业A,-4.95,-21.02,100.0,-14.17,-0.0261,67.39,0.1243
14,000662,天夏智慧,-6.62,-21.93,-1.8154,-2.5481,-0.0237,11.6162,0.1084
15,000025,特力A,-7.81,-25.13,26.0607,-6.7285,-0.0305,26.7726,0.1215
16,000030,富奥股份,-9.01,-6.26,100.0,-7.4515,-0.0258,118.8665,0.4121
17,000838,财信发展,-10.08,-33.47,21.7791,-2.4571,-0.0377,7.3407,0.1127
18,001696,宗申动力,-16.01,-392.5,-22.6007,-3.0757,-0.0224,0.7836,0.0057
19,000411,英特集团,-27.27,-94.7,-21.5678,-9.5544,-0.0829,10.0884,0.0875
20,600845,宝信软件,,-7.67,10.3712,-6.6019,-0.0251,86.0231,0.32799999999999996
21,000536,华映科技,,-49.92,8.6193,-11.6033,-0.0951,23.2398,0.1906
22,002042,华孚色纺,,,,,,,
23,002663,普邦股份,,,,,,,
24,600794,保税科技,,,,,,,
25,002045,国光电器,,,,,,,
26,002044,美年健康,,,,,,,
27,000546,金圆股份,,-91.01,100.0,-5.67,-0.0334,6.23,0.0367
28,002043,兔宝宝,,,,,,,
